,gameId,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,winner
103,3324239752,2,2,2,2,2,0,2
104,3326047211,1,1,1,1,1,2,1
105,3322398507,1,1,2,2,2,1,2
106,3323959835,2,2,0,1,2,0,1
107,3313277570,1,2,2,0,2,0,2
108,3238320164,1,1,2,2,2,0,2
109,3329961731,2,1,1,1,2,0,1
110,3326343190,1,1,1,0,1,0,1
111,3308713607,2,1,1,1,1,0,1
112,3288402128,1,1,1,0,1,0,1
113,3315759621,1,1,1,1,1,0,1
114,3317001937,1,1,2,2,1,1,2
115,3314035078,1,2,1,1,1,1,1
116,3315934285,2,2,0,0,2,0,2
117,3327839556,2,1,1,1,1,0,1
118,3301879852,2,1,1,1,2,1,2
119,3246799766,1,0,0,0,0,0,1
120,3233469276,2,1,0,0,0,0,1
121,3264123009,1,2,2,2,2,1,2
122,3221218999,2,2,2,0,2,2,2
123,3329172827,1,1,1,1,1,1,1
124,3331509281,2,1,0,0,2,0,2
125,3327364299,2,1,1,2,2,0,1
126,3329302998,2,1,2,2,2,0,2
127,3308358422,2,1,1,0,2,1,1
128,3322734650,2,1,1,0,1,0,1
129,3321518451,1,2,0,0,2,0,2
130,3327218687,1,1,2,2,2,0,2
131,3327581606,2,2,1,1,1,1,1
132,3331184032,1,1,1,1,1,1,1
133,3219978764,2,1,1,1,1,1,1
134,3267213499,2,2,0,0,2,0,2
135,3322707545,2,2,0,0,2,0,2
136,3302106475,1,2,2,0,1,0,2
137,3235294598,2,2,1,1,1,0,1
138,3329680020,1,2,2,1,1,2,2
139,3330475059,1,1,1,0,1,0,1
140,3323865742,2,1,1,1,1,0,1
141,3313178613,1,2,2,2,2,0,2
142,3321021689,1,1,0,2,1,0,2
143,3329116990,1,2,2,2,2,0,2
144,3319301422,2,2,0,0,0,0,2
145,3273969038,1,1,2,2,2,0,2
146,3327930981,2,1,1,0,1,0,1
147,3320765224,1,1,2,0,2,0,2
148,3321085501,2,2,1,2,2,0,1
149,3284885837,1,0,0,0,0,0,1
150,3319410490,2,2,2,0,2,0,2
151,3222173823,2,2,2,0,1,0,2
152,3329059618,2,2,1,1,1,2,1
153,3322300709,2,2,2,2,2,2,2
154,3315005993,1,2,2,2,2,0,2
155,3328235024,1,1,1,0,1,1,1
156,3325899099,1,2,2,0,2,2,2
157,3322411139,2,1,1,1,1,0,1
158,3317568621,1,2,1,0,1,1,1
159,3278485058,1,1,0,0,1,0,1
160,3323450176,2,2,1,2,1,2,1
161,3329355820,1,1,2,2,1,0,2
162,3329523242,1,1,1,1,1,1,1
163,3300523019,1,2,1,0,1,0,1
164,3260960194,2,1,1,1,1,2,1
165,3330029652,1,1,1,2,2,1,2
166,3283544172,1,1,1,1,1,0,1
167,3313865303,2,2,1,1,2,2,1
168,3326688250,2,2,2,2,2,2,2
169,3228575167,1,1,0,0,0,0,1
170,3328059536,1,2,1,1,2,1,1
