,gameId,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,winner
239,3327749176,1,1,2,2,1,1,0
240,3313524001,2,2,1,1,2,1,0
241,3224911519,1,1,2,1,2,1,0
242,3330156484,2,2,2,0,2,0,0
243,3328312961,2,2,2,2,2,2,0
244,3319265700,1,2,0,0,2,0,0
245,3269653607,1,2,0,0,2,0,0
246,3260906125,2,1,1,0,2,1,0
247,3328785302,2,2,2,1,2,2,0
248,3223703864,1,2,2,0,2,1,0
249,3322654390,1,2,0,2,1,2,0
250,3328234136,2,2,2,2,1,0,0
251,3325627631,1,1,1,0,0,1,0
252,3284532496,1,1,2,1,2,1,0
253,3272381153,2,2,2,0,2,0,0
254,3326082621,2,1,2,2,1,2,0
255,3311958899,1,2,2,2,2,2,0
256,3312573466,2,2,2,2,2,0,0
257,3312431187,2,1,1,0,1,0,0
258,3302194558,2,1,1,0,1,1,0
259,3251662809,1,1,1,1,1,0,0
260,3326240768,1,1,0,0,1,2,0
261,3318103812,1,1,1,1,1,1,0
262,3301012424,1,1,1,1,1,0,0
263,3267392992,1,1,1,0,1,1,0
264,3267391330,2,1,2,1,2,0,0
265,3269018594,1,1,1,1,1,0,0
266,3328964815,1,2,2,2,2,0,0
267,3302107954,2,2,2,0,2,0,0
268,3319750527,2,2,0,0,2,0,0
269,3327854927,1,1,0,2,2,0,0
270,3330005841,1,2,2,0,2,0,0
271,3327312174,1,1,1,1,1,1,0
272,3311878126,2,2,2,2,2,0,0
273,3327750180,2,1,1,1,1,2,0
274,3313101016,1,2,2,1,2,0,0
275,3328394869,2,1,1,1,1,0,0
276,3303374774,1,0,0,0,0,0,0
277,3319414022,1,2,2,2,2,2,0
278,3327719813,2,2,0,0,2,2,0
279,3250489148,2,2,2,0,1,0,0
280,3268526507,2,2,2,2,2,2,0
281,3328159295,1,2,1,0,1,0,0
282,3318805980,2,1,1,1,2,1,0
283,3268995334,1,1,1,0,2,2,0
284,3320709530,2,2,1,1,2,2,0
285,3302460478,1,1,1,1,1,1,0
286,3328089735,1,2,2,1,2,0,0
287,3317176408,1,1,1,0,2,0,0
288,3326483498,2,1,2,1,1,0,0
289,3317905544,2,1,2,2,1,2,0
290,3294950911,1,1,2,2,2,0,0
291,3323672407,2,1,1,0,2,1,0
292,3315734875,1,1,1,2,2,2,0
293,3328387679,2,2,2,2,2,1,0
294,3268456088,1,1,1,0,1,0,0
295,3326636755,2,2,1,2,2,1,0
296,3323845047,1,1,2,1,1,0,0
297,3327944229,1,2,2,2,1,1,0
298,3316921960,2,1,1,0,1,0,0
299,3322474567,1,1,1,0,1,1,0
300,3319758452,2,2,2,2,1,1,0
301,3325673179,2,1,2,0,2,0,0
302,3322820449,1,2,2,0,1,0,0
303,3329720081,1,1,1,1,1,1,0
304,3322401093,1,1,1,1,1,1,0
305,3270417825,2,2,2,2,2,0,0
306,3306370662,1,2,2,2,2,2,0
307,3317423113,1,2,1,0,2,0,0
308,3326082547,2,2,2,2,2,2,0
309,3268177018,1,1,1,2,1,0,0
310,3329055593,2,2,1,1,2,2,0
